category_name,category_viewers,category_tag_1,category_tag_2,tags_name,Viewers
League of Legends,345,MOBA,Game Overlay,,345000
Just Chatting,255,IRL,,,255000
Among Us,221,Puzzle,,,221000
Fall Guys,220,Action,Platformer,,220000
Fortnite,153,Shooter,,,153000
Grand Theft Auto V,145,Driving/Racing Game,,,145000
VALORANT,122,Shooter,FPS,,122000
Call of Duty: Modern Warfare,115,FPS,Shooter,,115000
Chess,92.9,Card & Board Game,,,92900
Garena Free Fire,80.2,Shooter,Strategy,,80200
Dota 2,54.6,MOBA,,,54600
Counter-Strike: Global Offensive,51.3,FPS,Shooter,,51300
Minecraft,47.8,Adventure Game,Action,,47800
Apex Legends,36.3,FPS,Shooter,,36300
World of Warcraft,32.7,MMORPG,RPG,,32700
New World,29.8,MMORPG,RPG,,29800
DayZ,29.4,RPG,Simulation,,29400
Dead by Daylight,28.5,Action,Horror,,28500
Tell Me Why,28.3,Adventure Game,,,28300
FIFA 20,26.4,Sports Game,,,26400
Hearthstone,23.9,Card & Board Game,,,23900
Escape From Tarkov,23.8,Simulation,FPS,,23800
Slots,23.3,Gambling Game,,,23300
Street Fighter V,21.6,Fighting,,,21600
Poker,21.5,Card & Board Game,,,21500
Gang Beasts,20.3,Action,Indie Game,,20300
Overwatch,19.7,FPS,Shooter,,19700
Music,18.3,IRL,Creative,,18300
Tom Clancy's Rainbow Six: Siege,16.4,FPS,Shooter,,16400
Sports,16.3,IRL,,,16300
Darkest Dungeon,14.8,RPG,Indie Game,,14800
Destiny 2,14.4,FPS,Shooter,,14400
Art,11.7,Creative,,,11700
Hitman 2,10.9,,,,10900
ASMR,9.1,IRL,,,9100
PLAYERUNKNOWN'S BATTLEGROUNDS,9,Shooter,FPS,,9000
Teamfight Tactics,8.5,Strategy,Autobattler,,8500
Dark Souls III,8.3,RPG,Action,,8300
Smite,7.7,MOBA,,,7700
World of Tanks,7.4,Simulation,Action,,7400
Wasteland 3,7.3,RPG,,,7300
Madden NFL 21,7.3,Sports Game,,,7300
Warframe,6.8,Shooter,Action,,6800
Tibia,6.7,Adventure Game,RPG,,6700
Rocket League,6.6,Driving/Racing Game,,,6600
Black Desert Online,6.5,MMORPG,RPG,,6500
Heroes of Might and Magic III: The Shadow of Death,6.4,RPG,Strategy,,6400
Old School RuneScape,5.9,MMORPG,,,5900
Rust,5.9,Action,Adventure Game,,5900
Super Smash Bros. Ultimate,5.8,Fighting,Platformer,,5800
Microsoft Flight Simulator,5.7,Simulation,,,5700
NBA 2K20,5.7,Sports Game,Simulation,,5700
FINAL FANTASY XIV Online,5.7,MMORPG,,,5700
Night of the Dead,5.1,Simulation,Action,,5100
The Dark Pictures Anthology: Man of Medan,5.1,Adventure Game,Horror,,5100
The Elder Scrolls Online,4.9,MMORPG,Stealth,,4900
Outward,4.6,RPG,Indie Game,,4600
Marbles On Stream,4.6,Driving/Racing Game,,,4600
VRChat,4.5,Simulation,RPG,,4500
Clubhouse Games: 51 Worldwide Classics,4.4,Card & Board Game,,,4400
Dark Souls II: Scholar of the First Sin,4.4,RPG,Action,,4400
Outer Wilds,4.3,Adventure Game,,,4300
Rogue Company,4.2,Action,,,4200
Sonic the Hedgehog,4.1,Educational Game,,,4100
Games + Demos,4,Compilation,Puzzle,,4000
Terraria,3.9,Platformer,Action,,3900
Surgeon Simulator 2,3.8,Simulation,,,3800
Warcraft III,3.8,Strategy,RTS,,3800
Pokémon Sword/Shield,3.7,RPG,,,3700
Retro,3.7,Action,Shooter,,3700
Pokémon Omega Ruby/Alpha Sapphire,3.5,RPG,,,3500
7 Days to Die,3.5,Simulation,FPS,,3500
Magic: The Gathering,3.4,Card & Board Game,,,3400
Talk Shows & Podcasts,3.4,IRL,,,3400
Clash Royale,3.3,Strategy,RTS,,3300
